Title,Rating,Votes,Duration,Genre
Non Negotiable,5.4, 1.2K,1h 27m,thriller
They Whisper,4.8,70,1h 30m,thriller
Barda,5.3,176,1h 39m,thriller
Balestra,5.1,529,2h 25m,thriller
Mr. Bachchan,3.6, 5.3K,2h 30m,thriller
Till Death Do Us Part,6.1,180,1h 30m,thriller
Bone Lake,6.9,46,1h 34m,thriller
Kotee,6.3,342,2h 30m,thriller
Cadi,6.3, 4.4K,2h 14m,thriller
Fear,8.4, 2.8K,1h 55m,thriller
Chapel,3.4,182,1h 32m,thriller
I Am Kathalan,6.7, 1.2K,1h 55m,thriller
Through the Door,3.9,80,1h 10m,thriller
Stranger Eyes,6.4,290,2h 5m,thriller
Curse of the Sin Eater,4.9,763,1h 30m,thriller
Operation Valentine,5.3, 1.4K,2h 13m,thriller
War Game,5.5,624,1h 34m,thriller
FanGirl,4.3,35,1h 20m,thriller
Gumasthan,5.8,523,2h 25m,thriller
Borderless Fog,5.2, 1.3K,1h 50m,thriller
S.T.A.L.K.E.R.: Shadow of the Zone,5.1,473,1h 12m,thriller
Paranoia,4.1,374,1h 35m,thriller
Art of Eight Limbs,4,316,1h 41m,thriller
Spirit in the Blood,4.7,373,1h 38m,thriller
Killer Influence,2.6,296,1h 24m,thriller
Dancing Village: The Curse Begins,5.7, 4.2K,2h 2m,thriller
Salve Maria,6.4,487,1h 51m,thriller
Witch,4.9, 1.4K,1h 47m,thriller
Beyond the Rush,8.2,378,1h 34m,thriller
Unpredictable,5.4,406,1h 41m,thriller
Remnant,2.6,317,1h 52m,thriller
The Redemption of Sin,5.9,198,1h 56m,thriller
Oshi no Ko: The Final Act,6.6,136,2h 9m,thriller
The Lady of the Lake,2.5,184,1h 27m,thriller
Blackout,6.1, 10K,2h 2m,thriller
Hunting with Tigers,5.6,539,1h 49m,thriller
Spithood,5.5, 1.1K,58m,thriller
Conquer: Lahad Datu,6.6,520,2h,thriller
Roommate Regret,5.3,121,1h 24m,thriller
Beacon,5.7,429,1h 36m,thriller
Hunting Matthew Nichols,8.9,46,1h 36m,thriller
Once Upon a Time in Hollyweird,2,152,1h 30m,thriller
The Carters,5.5,23,1h 15m,thriller
Out of Control,5.9,104,1h 51m,thriller
Brief History of a Family,6.7,424,1h 40m,thriller
The Manifestation,3.6,191,1h 24m,thriller
Martin,2.2, 36K,2h 27m,thriller
Arenas,7,23,1h 34m,thriller
Transplant,8.5,19,1h 33m,thriller
Last Night at Terrace Lanes,4.3,638,1h 15m,thriller
Last Known Location,6.1, 1.4K,1h 50m,thriller
Customs Frontline,5.5,494,1h 55m,thriller
Serpent's Path,5.8,290,1h 52m,thriller
Dilemma,5.6,483,1h 24m,thriller
You Shall Not Sleep Tonight,4.1,361,1h 17m,thriller
The Sleeping Woman,5.2,572,1h 50m,thriller
Fresh,7.9,28,1h 38m,thriller
Mandara,7.7,55,2h 12m,thriller
Protocol-7,5,264,1h 38m,thriller
Murder and Cocktails,3.9,363,1h 28m,thriller
The Plot,4.8,383,1h 40m,thriller
Final Heist,4.4,153,1h 23m,thriller
Charlotte,6.1,155,1h 26m,thriller
The Akaali,4.9,117,2h 25m,thriller
The Neighbor,5.3,52,52m,thriller
Kupu-Kupu Kertas,6.5,198,1h 53m,thriller
ClearMind,4.1, 2.2K,1h 25m,thriller
From Darkness,5,557,1h 35m,thriller
The Experts,6.1,285,2h 1m,thriller
Tell No Lies,5.1,246,1h 44m,thriller
